gene_symbol,ensembl_id,pair_02_normocaf_normoxia_rep1,pair_02_normocaf_normoxia_rep2,pair_02_normocaf_normoxia_rep3,pair_02_normocaf_hypoxia_rep1,pair_02_normocaf_hypoxia_rep2,pair_02_normocaf_hypoxia_rep3,pair_02_hypocaf_normoxia_rep1,pair_02_hypocaf_normoxia_rep2,pair_02_hypocaf_normoxia_rep3,pair_02_hypocaf_hypoxia_rep1,pair_02_hypocaf_hypoxia_rep2,pair_02_hypocaf_hypoxia_rep3,pair_08_normocaf_normoxia_rep1,pair_08_normocaf_normoxia_rep2,pair_08_normocaf_normoxia_rep3,pair_08_normocaf_hypoxia_rep1,pair_08_normocaf_hypoxia_rep2,pair_08_normocaf_hypoxia_rep3,pair_08_hypocaf_normoxia_rep1,pair_08_hypocaf_normoxia_rep2,pair_08_hypocaf_normoxia_rep3,pair_08_hypocaf_hypoxia_rep1,pair_08_hypocaf_hypoxia_rep2,pair_08_hypocaf_hypoxia_rep3,pair_09_normocaf_normoxia_rep1,pair_09_normocaf_normoxia_rep2,pair_09_normocaf_normoxia_rep3,pair_09_normocaf_hypoxia_rep1,pair_09_normocaf_hypoxia_rep2,pair_09_normocaf_hypoxia_rep3,pair_09_hypocaf_normoxia_rep1,pair_09_hypocaf_normoxia_rep2,pair_09_hypocaf_normoxia_rep3,pair_09_hypocaf_hypoxia_rep1,pair_09_hypocaf_hypoxia_rep2,pair_09_hypocaf_hypoxia_rep3
PPARA,ENSG00000186951,9.044582305,8.513993838,8.740434487,7.939034361,7.380336276,7.755106314,9.163794429,7.625938319,8.884560482,7.856070455,8.962088453,7.07523134,8.667693499,8.062097285,9.50990265,9.474432688,8.734184118,8.987275247,8.167449983,8.779579842,7.500356613,9.550625609,8.613142038,9.059714197,9.915597976,9.666770667,9.685927763,12.52009941,13.4421837,13.01985076,9.258100988,10.05979992,8.584047989,12.63654445,11.70288946,12.42750418
CDPF1,ENSG00000205643,8.114994604,7.502981231,9.291542025,6.03680446,6.153479231,3.177234071,6.048703356,6.687520784,7.519969588,6.039605703,8.014635404,10.88803998,8.316559556,8.414248335,6.810285845,7.147137044,7.118362918,5.517551715,8.598123339,7.870896493,10.90782834,7.589168926,4.922746202,8.489920604,7.243304036,6.09066871,10.34625967,6.044587185,5.79061723,5.055266237,8.408032774,9.493966748,9.065652493,6.506767341,6.065600011,7.979844491
PKDREJ,ENSG00000130943,0.035634944,0.150616879,0.076802737,0.042414557,0.172937254,0.089292921,0.254988953,0.272824762,0.257036438,0.231459484,0.241331946,0.269997576,0.219120393,0.126682427,0.130497364,0.12912621,0.075020372,0.124605932,0.209112821,0.113115433,0.164225027,0.369148583,0.045113726,0.127821726,0.03550564,0.110039161,0,0.278704378,0,0.127865789,0.281947886,0.245037166,0.177754125,0.363866132,0.412421367,0.265577431
TTC38,ENSG00000075234,19.92474809,17.93141101,18.92408075,13.66654075,15.15985467,14.27991291,24.26564905,25.532047,26.49041157,21.47812409,18.9826855,17.16481967,23.79408434,22.81049555,19.78729679,17.74382117,16.70751356,19.97644745,23.12023248,22.77957113,24.51233293,16.32573463,17.63589044,19.28064436,26.16149069,26.15756222,27.23488776,17.54540713,14.8318091,14.33924241,28.24667081,25.64078626,27.58453971,17.44049411,20.61713751,18.45683958
GTSE1,ENSG00000075218,0.367029173,0.872610982,0.494403139,5.133071424,6.568180686,6.092947233,24.51221996,22.01176642,24.81935401,29.79953565,26.59641463,24.21694818,15.3279355,17.17974516,15.34495303,19.17360446,21.92499926,18.71630118,30.60189365,28.15549182,28.86067671,23.86885836,24.04603919,23.58774335,31.72424751,27.57867392,28.93333807,15.58309977,15.20715662,14.81601428,84.73393422,73.82140962,89.1377495,44.90046516,51.07998321,46.84316692
TRMU,ENSG00000100416,7.853585705,8.91332604,8.985702613,10.50178727,10.35185374,9.839633933,16.30407313,16.82590103,12.70506317,14.48470664,13.92058742,11.38671498,11.92393723,11.25973272,10.65196868,10.65715858,12.34927539,10.73613483,16.68971673,12.31086989,17.20310971,12.72244068,15.09804418,11.94063804,13.23502595,14.37127818,17.29799551,12.34973077,11.35546702,12.87250216,15.12365551,13.33425766,14.75116814,11.42342745,8.528283658,11.68203589
CELSR1,ENSG00000075275,0.376713372,0.419010594,0.448690993,0.896767558,0.4570498,0.62102402,0.094582646,0.050599227,0.047671058,0.064391173,0.053710125,0.050074885,1.788115527,1.151257713,1.887801998,1.245311064,1.460927326,1.756355444,0.058174414,0.083915455,0.068530194,0.045642565,0.025100944,0.071119064,0.671672572,0.673474739,0.63753421,0.908261619,1.13913959,0.996010123,0.156873721,0.181782491,0.074175811,0.233598955,0.160627741,0.22164798
GRAMD4,ENSG00000075240,7.260265398,6.491415393,6.62022044,4.786085984,5.420653132,5.597706004,2.46436426,3.278109292,3.289823408,2.660170478,2.647560645,2.327317403,3.548593889,5.294417293,4.567603003,4.047412438,4.761757778,3.189676269,4.424329794,3.368282637,4.18240197,3.342682308,3.6058855,3.539096089,4.117770381,4.368905708,4.402578425,4.05594606,2.591639563,2.939130346,5.050028774,6.144478169,4.248372542,4.3427671,4.524517375,4.578433527
CERK,ENSG00000100422,64.1454745,68.69186754,63.54740956,70.11517798,66.16236939,66.62497243,72.97239066,72.72998169,74.0768753,58.63430966,58.42275875,63.72821104,58.22395199,58.85310377,59.27149927,59.98841699,61.48890605,54.5127952,67.25627594,66.50280919,64.10712675,52.98079968,52.89049094,57.5405047,73.85878877,72.43214251,67.55766713,56.24799144,54.46549386,54.61230746,83.09032498,83.04762989,77.14941181,53.3358336,56.05352315,54.11261724
TBC1D22A,ENSG00000054611,18.08576727,17.77342282,20.2284887,24.79012802,23.92582415,25.63217724,17.29296829,19.1753867,19.27009092,20.20662252,23.21105641,18.64375479,15.13060577,13.68377643,13.06601819,18.02379839,19.42602749,17.70013948,18.6167278,19.86174229,23.14573962,22.88056702,19.15831574,23.894028,19.64878414,19.43013328,18.3766549,24.09549184,26.74063215,21.75799833,16.15127568,20.18338075,18.34554572,21.53616459,21.84695532,21.54778081
gene:ENSG00000278881,ENSG00000278881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:ENSG00000280312,ENSG00000280312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAFA5,ENSG00000219438,0.177735069,0,0,0.21154949,0,0.111340735,0.529916165,0.340189448,0.213668494,0.192406959,0.481472902,0.44888558,0,0,0.108479465,0.322018967,0,0,0,0,0,0,0,0,0.354180285,0.27441909,0,0.099291667,0.392752798,0.106291897,0,0,0,0.069801592,0,0
BRD1,ENSG00000100425,11.3820834,9.840318588,11.41612893,7.389570291,9.206254802,8.889620672,12.10517402,13.20339242,14.03865469,10.29472479,11.47907672,9.333264539,15.14908857,13.83812236,14.01425796,14.10506841,13.32956705,13.95588686,14.98730348,13.71166072,14.24907835,12.42042661,12.91257154,14.8462806,14.23734611,14.4545501,15.33258577,13.87330691,14.04577334,11.61002181,22.05462566,23.77368519,23.47236016,19.15742714,15.51114164,18.85056334
ZBED4,ENSG00000100426,11.71406378,11.58063095,11.04017343,11.48499202,10.7916058,10.3480819,14.01752414,14.38998566,14.60744827,13.62675599,13.01576391,12.08467969,14.60950439,13.03419981,14.63851136,13.71730101,13.87703836,13.32967127,13.90342902,13.4449773,13.6791788,12.84323718,13.07047973,13.34133313,17.17103839,16.43090772,16.63992245,16.45997411,15.04859155,15.00823692,22.80048063,24.48344196,25.20501525,19.43102968,18.98019613,18.00289158
ALG12,ENSG00000182858,11.19497508,12.42623869,10.68057338,9.351836913,9.65719103,10.22997838,11.69752652,11.5328265,10.92715909,9.339498746,9.320520463,7.976351464,12.52561508,13.0835059,10.34320148,7.8154547,10.48676424,8.559414502,13.61097567,13.96446455,16.44806082,10.04842913,9.81694136,9.2715197,12.53585568,13.21467789,13.31652813,8.721273284,8.283915494,10.31888911,14.39504543,13.12429939,14.40896445,10.04357172,8.320697806,10.33345341
CRELD2,ENSG00000184164,58.10064829,56.6824997,60.68956886,52.17531658,58.95280312,56.59639364,67.87299731,65.98419425,76.63530236,62.41422686,59.9776179,49.35060741,64.87379238,69.37763318,60.22082591,51.15241569,57.7169966,60.44648214,74.40935003,73.73973802,88.51116022,48.57414621,58.50557092,54.18903294,63.36789072,70.81661226,74.13677018,74.71131912,67.64218118,70.38116202,85.65823439,80.03993128,89.13184805,43.06780988,42.65019074,48.17354003
PIM3,ENSG00000198355,11.9797833,9.63156249,12.20818239,7.284468154,6.003399132,5.873197292,26.71059826,35.72366828,33.03018092,29.03862204,28.57227871,24.829651,30.15956274,28.23782626,24.47858214,21.07574818,21.5195866,23.82879991,26.23503721,25.90260907,34.80586165,18.88488285,19.94707025,20.2400615,21.53726167,23.05364054,26.06770566,18.91359813,15.96982953,16.35337743,36.79559797,36.86062685,35.3998354,28.02424351,23.057788,21.18830735
IL17REL,ENSG00000188263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076815038,0,0.0818235,0,0,0,0,0,0,0
TTLL8,ENSG00000138892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLC1,ENSG00000100427,0.596160099,0.236228202,0.240915529,0.354790323,0.452059301,0.280094852,0.088872409,0.095088801,0,0.322686323,0.201869935,0.09410343,0,0,0,0,0,0,0,0,0,0,0,0,3.118483641,3.681833042,3.091841871,4.07979807,3.128763103,3.476118328,5.643420903,6.063674712,5.947528152,11.76497953,10.60823436,10.27447715
MOV10L1,ENSG00000073146,0.318640286,0.37878326,0.128766405,0.094815545,0.144972102,0.1996097,0,0.050823802,0.095765274,0.043117974,0.215794025,0.150891398,0.081638715,0.047198667,0.048620016,0,0.167704155,0.046425018,0.038955073,0.168575794,0,0.045845141,0.100849396,0.047623141,1.150879768,1.1069408,1.156786181,1.2460584,0.968165367,1.09570983,0.630279894,0.54776789,0.596040206,1.126251537,1.198530582,1.38526404
PANX2,ENSG00000073150,20.90549317,20.13276359,20.81741535,31.07725406,31.89193143,33.81772994,8.626208617,8.554253505,8.907559242,6.875308915,7.049086031,5.235310715,6.056787549,3.553939458,4.199340409,7.884258558,10.49212972,9.458914102,5.348808997,5.69333099,8.536790564,5.178033574,5.360260798,6.117125704,9.931429775,10.35063175,11.34535581,17.83858146,16.95811148,17.30266284,14.85569796,13.24304928,12.8700889,13.51042101,12.96524919,13.58618706
TRABD,ENSG00000170638,24.20815401,22.56342329,25.71832737,24.60046088,26.18424786,23.46284193,39.6289746,35.98978224,34.5934372,32.26368499,35.26382259,25.95558674,29.25642714,31.66363038,24.39317122,22.48176917,28.96783193,28.61578444,32.27579769,29.48086118,42.23126735,27.206882,25.58772596,21.02586511,53.81560349,49.36567029,52.2334566,36.8717139,29.77515165,31.41309117,57.04831263,58.23585445,64.64951625,37.40107352,32.24636126,37.16130334
SELENOO,ENSG00000073169,29.13360374,33.19149378,34.62528452,26.25697038,22.25521799,25.98633258,25.73679562,27.23105018,30.55562408,21.67464809,21.76012881,19.22756062,39.072439,35.80201854,26.63567616,20.7081375,29.02611476,23.61652653,26.96926436,29.05012091,38.26229132,24.70151447,24.74048172,24.08266572,29.50571546,29.12392295,35.81498615,17.41409692,14.43878334,16.63423952,28.59335471,32.42683536,33.9388722,19.21057229,19.14838266,19.35954388
TUBGCP6,ENSG00000128159,9.555362019,8.72856142,11.40387215,7.440468183,7.205058306,7.720108653,11.82171214,11.79397413,11.75560133,8.942372348,9.434669663,5.638530127,11.76039644,10.10615085,8.2847873,6.63369578,7.379146989,8.275073875,11.83466563,10.0632324,15.1246026,8.223107536,8.535774462,9.876713158,10.63291971,13.1446595,14.4038346,5.836989388,5.772120652,5.767852607,20.03634958,18.26863995,20.10130199,11.81912901,11.0589074,11.09244289
HDAC10,ENSG00000100429,13.85636534,13.81666893,12.19802704,14.86653668,14.08835962,18.21621752,14.43034452,16.43581958,16.07122238,12.88749354,13.08473417,10.84366735,14.60055295,18.38557186,14.88933828,11.66845197,14.79096843,13.87593302,15.74701548,13.83535497,22.70992083,11.90554994,11.9829936,12.60062471,17.59789886,17.17540659,18.92722532,13.30118952,12.50648126,12.02140509,15.66188558,17.33394074,20.20006111,15.78884647,13.77799072,13.33268135
MAPK12,ENSG00000188130,30.79260062,35.1794143,37.29553846,35.55455316,29.37655207,37.75521504,13.4965571,13.76894982,13.76312729,13.10587398,12.29839197,11.9645272,31.01800162,28.22462131,26.02255464,18.75554059,18.56130242,22.54702413,16.98860709,16.01226905,22.89342279,12.11722336,14.32720829,14.63257641,30.41863755,30.74725178,33.85061451,26.75910413,23.55383849,26.28475958,21.26969541,22.32013697,26.09223312,16.2275279,16.14363958,16.34535454
MAPK11,ENSG00000185386,30.3499965,32.90123664,34.40201197,36.39172493,35.86766593,35.34919733,8.043409227,10.75753078,8.243128659,8.396371012,7.155853937,7.523211716,26.03507223,28.37223326,26.34514012,25.79678294,26.38595886,28.56227247,16.82052865,18.91108873,21.75742186,16.04350231,17.78842537,17.06891606,17.69592339,19.55381586,19.23814483,27.12803282,25.70877557,20.83932297,20.07459025,21.3849184,19.06414812,19.68892227,20.55497932,21.78127574
